,Exploitation,Exposure,MissionImpact,SafetyImpact,Outcome,Utility,TechnicalImpact
372,none,controlled,MEF crippled,major,scheduled,laborious,partial
373,none,controlled,MEF crippled,major,scheduled,laborious,total
374,none,controlled,MEF crippled,major,scheduled,efficient,partial
375,none,controlled,MEF crippled,major,scheduled,efficient,total
376,none,controlled,MEF crippled,major,scheduled,super effective,partial
377,none,controlled,MEF crippled,major,scheduled,super effective,total
378,none,controlled,MEF fail,major,scheduled,laborious,partial
379,none,controlled,MEF fail,major,scheduled,laborious,total
380,none,controlled,MEF fail,major,scheduled,efficient,partial
381,none,controlled,MEF fail,major,scheduled,efficient,total
382,none,controlled,MEF fail,major,scheduled,super effective,partial
383,none,controlled,MEF fail,major,scheduled,super effective,total
384,none,unavoidable,none,major,scheduled,laborious,partial
385,none,unavoidable,none,major,scheduled,laborious,total
386,none,unavoidable,none,major,scheduled,efficient,partial
387,none,unavoidable,none,major,scheduled,efficient,total
388,none,unavoidable,none,major,scheduled,super effective,partial
389,none,unavoidable,none,major,scheduled,super effective,total
390,none,unavoidable,degraded,major,scheduled,laborious,partial
391,none,unavoidable,degraded,major,scheduled,laborious,total
392,none,unavoidable,degraded,major,scheduled,efficient,partial
393,none,unavoidable,degraded,major,scheduled,efficient,total
394,none,unavoidable,degraded,major,scheduled,super effective,partial
395,none,unavoidable,degraded,major,scheduled,super effective,total
396,none,unavoidable,MEF crippled,major,scheduled,laborious,partial
397,none,unavoidable,MEF crippled,major,scheduled,laborious,total
398,none,unavoidable,MEF crippled,major,scheduled,efficient,partial
399,none,unavoidable,MEF crippled,major,scheduled,efficient,total
400,none,unavoidable,MEF crippled,major,scheduled,super effective,partial
401,none,unavoidable,MEF crippled,major,scheduled,super effective,total
402,none,small,none,minor,defer,laborious,partial
403,none,small,none,minor,defer,laborious,total
404,none,small,degraded,minor,defer,laborious,partial
405,none,small,degraded,minor,defer,laborious,total
406,none,controlled,none,minor,defer,laborious,partial
407,none,controlled,none,minor,defer,laborious,total
408,none,controlled,degraded,minor,defer,laborious,partial
409,none,controlled,degraded,minor,defer,laborious,total
410,none,controlled,mission fail,minor,out-of-band,,
411,none,unavoidable,mission fail,minor,out-of-band,,
412,none,small,MEF crippled,minor,scheduled,efficient,partial
413,none,small,MEF crippled,minor,scheduled,efficient,total
414,none,small,MEF crippled,minor,scheduled,super effective,partial
415,none,small,MEF crippled,minor,scheduled,super effective,total
416,none,small,MEF fail,minor,scheduled,efficient,partial
417,none,small,MEF fail,minor,scheduled,efficient,total
418,none,small,MEF fail,minor,scheduled,super effective,partial
419,none,small,MEF fail,minor,scheduled,super effective,total
420,none,small,mission fail,minor,scheduled,efficient,partial
421,none,small,mission fail,minor,scheduled,efficient,total
422,none,small,mission fail,minor,scheduled,super effective,partial
423,none,small,mission fail,minor,scheduled,super effective,total
424,none,controlled,MEF crippled,minor,scheduled,efficient,partial
425,none,controlled,MEF crippled,minor,scheduled,efficient,total
426,none,controlled,MEF crippled,minor,scheduled,super effective,partial
427,none,controlled,MEF crippled,minor,scheduled,super effective,total
428,none,controlled,MEF fail,minor,scheduled,efficient,partial
429,none,controlled,MEF fail,minor,scheduled,efficient,total
430,none,controlled,MEF fail,minor,scheduled,super effective,partial
431,none,controlled,MEF fail,minor,scheduled,super effective,total
432,none,unavoidable,none,minor,scheduled,efficient,partial
433,none,unavoidable,none,minor,scheduled,efficient,total
434,none,unavoidable,none,minor,scheduled,super effective,partial
435,none,unavoidable,none,minor,scheduled,super effective,total
436,none,unavoidable,degraded,minor,scheduled,efficient,partial
437,none,unavoidable,degraded,minor,scheduled,efficient,total
438,none,unavoidable,degraded,minor,scheduled,super effective,partial
439,none,unavoidable,degraded,minor,scheduled,super effective,total
440,none,unavoidable,MEF crippled,minor,scheduled,efficient,partial
441,none,unavoidable,MEF crippled,minor,scheduled,efficient,total
442,none,unavoidable,MEF crippled,minor,scheduled,super effective,partial
443,none,unavoidable,MEF crippled,minor,scheduled,super effective,total
444,none,unavoidable,MEF fail,minor,scheduled,efficient,partial
445,none,unavoidable,MEF fail,minor,scheduled,efficient,total
446,none,unavoidable,MEF fail,minor,scheduled,super effective,partial
447,none,unavoidable,MEF fail,minor,scheduled,super effective,total
448,none,small,none,none,defer,laborious,partial
449,none,small,none,none,defer,laborious,total
450,none,small,none,none,defer,efficient,partial
451,none,small,degraded,none,defer,laborious,partial
452,none,small,degraded,none,defer,laborious,total
453,none,small,degraded,none,defer,efficient,partial
454,none,small,MEF crippled,none,defer,laborious,partial
455,none,small,MEF crippled,none,defer,laborious,total
456,none,small,MEF crippled,none,defer,efficient,partial
457,none,controlled,none,none,defer,laborious,partial
458,none,controlled,none,none,defer,laborious,total
459,none,controlled,none,none,defer,efficient,partial
460,none,controlled,degraded,none,defer,laborious,partial
461,none,controlled,degraded,none,defer,laborious,total
462,none,controlled,degraded,none,defer,efficient,partial
463,none,controlled,MEF crippled,none,defer,laborious,partial
464,none,controlled,MEF crippled,none,defer,laborious,total
465,none,controlled,MEF crippled,none,defer,efficient,partial
466,none,unavoidable,none,none,defer,laborious,partial
467,none,unavoidable,none,none,defer,laborious,total
468,none,unavoidable,none,none,defer,efficient,partial
469,none,unavoidable,degraded,none,defer,laborious,partial
470,none,unavoidable,degraded,none,defer,laborious,total
471,none,unavoidable,degraded,none,defer,efficient,partial
472,none,controlled,mission fail,none,out-of-band,,
473,none,unavoidable,mission fail,none,out-of-band,,
474,none,small,MEF fail,none,scheduled,efficient,total
475,none,small,MEF fail,none,scheduled,super effective,partial
476,none,small,MEF fail,none,scheduled,super effective,total
477,none,small,mission fail,none,scheduled,efficient,total
478,none,small,mission fail,none,scheduled,super effective,partial
479,none,small,mission fail,none,scheduled,super effective,total
480,none,controlled,MEF fail,none,scheduled,efficient,total
481,none,controlled,MEF fail,none,scheduled,super effective,partial
482,none,controlled,MEF fail,none,scheduled,super effective,total
483,none,unavoidable,MEF crippled,none,scheduled,efficient,total
484,none,unavoidable,MEF crippled,none,scheduled,super effective,partial
485,none,unavoidable,MEF crippled,none,scheduled,super effective,total
486,none,unavoidable,MEF fail,none,scheduled,efficient,total
487,none,unavoidable,MEF fail,none,scheduled,super effective,partial
488,none,unavoidable,MEF fail,none,scheduled,super effective,total
489,poc,small,MEF fail,catastrophic,immediate,laborious,total
490,poc,small,MEF fail,catastrophic,immediate,efficient,partial
491,poc,small,MEF fail,catastrophic,immediate,efficient,total
492,poc,small,MEF fail,catastrophic,immediate,super effective,partial
493,poc,small,MEF fail,catastrophic,immediate,super effective,total
494,poc,small,mission fail,catastrophic,immediate,laborious,total
495,poc,small,mission fail,catastrophic,immediate,efficient,partial
