,Exploitation,Exposure,MissionImpact,SafetyImpact,Outcome,Utility,TechnicalImpact
201,active,unavoidable,MEF crippled,none,out-of-band,efficient,total
202,active,unavoidable,MEF crippled,none,out-of-band,super effective,partial
203,active,small,MEF crippled,none,scheduled,laborious,partial
204,active,small,MEF fail,none,scheduled,laborious,partial
205,active,controlled,degraded,none,scheduled,laborious,partial
206,active,controlled,MEF crippled,none,scheduled,laborious,partial
207,active,unavoidable,degraded,none,scheduled,laborious,partial
208,none,small,none,catastrophic,out-of-band,laborious,total
209,none,small,none,catastrophic,out-of-band,efficient,partial
210,none,small,none,catastrophic,out-of-band,efficient,total
211,none,small,none,catastrophic,out-of-band,super effective,partial
212,none,small,none,catastrophic,out-of-band,super effective,total
213,none,small,degraded,catastrophic,out-of-band,laborious,total
214,none,small,degraded,catastrophic,out-of-band,efficient,partial
215,none,small,degraded,catastrophic,out-of-band,efficient,total
216,none,small,degraded,catastrophic,out-of-band,super effective,partial
217,none,small,degraded,catastrophic,out-of-band,super effective,total
218,none,small,MEF crippled,catastrophic,out-of-band,laborious,total
219,none,small,MEF crippled,catastrophic,out-of-band,efficient,partial
220,none,small,MEF crippled,catastrophic,out-of-band,efficient,total
221,none,small,MEF crippled,catastrophic,out-of-band,super effective,partial
222,none,small,MEF crippled,catastrophic,out-of-band,super effective,total
223,none,small,MEF fail,catastrophic,out-of-band,laborious,total
224,none,small,MEF fail,catastrophic,out-of-band,efficient,partial
